timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-09-13,0.00347700,0.00351800,0.00326600,0.00331400,46294751.00000000,1600041599999,156729.42641800,1356,17320611.00000000,58818.13144000,0
2020-09-14,0.00331300,0.00351800,0.00323400,0.00348300,95922544.00000000,1600127999999,327167.35777100,2031,40938714.00000000,139737.53129000,0
2020-09-15,0.00346300,0.00358900,0.00327300,0.00330600,110862323.00000000,1600214399999,382160.53518300,2634,58034759.00000000,201165.89098100,0
2020-09-16,0.00330700,0.00336000,0.00321100,0.00330300,50964043.00000000,1600300799999,167325.91570300,1400,24816521.00000000,81548.85769800,0
2020-09-17,0.00332800,0.00346000,0.00307600,0.00318100,131567364.00000000,1600387199999,428728.94053100,2221,66298945.00000000,216502.67286700,0
2020-09-18,0.00318000,0.00327000,0.00304500,0.00311100,98516387.00000000,1600473599999,309459.75650300,1841,40456085.00000000,127355.86892200,0
2020-09-19,0.00311300,0.00314700,0.00296400,0.00304300,174368643.00000000,1600559999999,529645.72318000,2152,67614883.00000000,206175.85232800,0
2020-09-20,0.00303700,0.00304900,0.00289700,0.00296700,100972527.00000000,1600646399999,299105.38577500,2136,40173032.00000000,119131.32493900,0
2020-09-21,0.00297000,0.00309200,0.00242600,0.00259800,172275753.00000000,1600732799999,462043.20680500,3142,67264274.00000000,181305.16292700,0
2020-09-22,0.00259700,0.00270600,0.00249100,0.00269300,70144164.00000000,1600819199999,183947.82197400,1505,33515918.00000000,88414.32536500,0
2020-09-23,0.00269300,0.00272000,0.00244600,0.00249100,101685076.00000000,1600905599999,263057.74187200,1772,39184592.00000000,101524.10973200,0
2020-09-24,0.00248100,0.00264900,0.00243000,0.00264000,46198248.00000000,1600991999999,116159.02555300,1144,22341884.00000000,56356.57301100,0
2020-09-25,0.00263800,0.00280000,0.00258500,0.00274600,77767053.00000000,1601078399999,209052.26101500,1461,51636390.00000000,138674.96777400,0
2020-09-26,0.00276600,0.00281200,0.00271000,0.00274800,54800024.00000000,1601164799999,150845.94244500,869,24089371.00000000,66433.05838900,0
2020-09-27,0.00276800,0.00279200,0.00267200,0.00273400,59744565.00000000,1601251199999,162904.06297900,876,25017305.00000000,68674.82590500,0
2020-09-28,0.00273100,0.00292000,0.00271700,0.00283400,155669954.00000000,1601337599999,439745.54200700,2727,71976280.00000000,203558.94975500,0
2020-09-29,0.00283600,0.00312800,0.00283600,0.00303500,273595205.00000000,1601423999999,822625.12337900,5344,120827372.00000000,363323.38126200,0
2020-09-30,0.00303700,0.00328000,0.00303700,0.00307400,151209042.00000000,1601510399999,473524.97549700,3177,75636923.00000000,237618.17004100,0
2020-10-01,0.00307400,0.00314100,0.00275700,0.00287100,154013855.00000000,1601596799999,453505.03812000,2461,71107625.00000000,210836.18613200,0
2020-10-02,0.00289700,0.00293900,0.00264000,0.00283800,106730843.00000000,1601683199999,295001.19124900,2212,49791930.00000000,137652.94157800,0
2020-10-03,0.00282300,0.00284900,0.00273800,0.00276000,26050559.00000000,1601769599999,72922.64957000,781,11513980.00000000,32326.32751800,0
2020-10-04,0.00275900,0.00276900,0.00266300,0.00275900,41529148.00000000,1601855999999,113017.65781800,988,16348956.00000000,44491.07846900,0
2020-10-05,0.00276000,0.00286400,0.00274000,0.00282700,60894714.00000000,1601942399999,170542.90618200,1418,30485393.00000000,85369.91683400,0
2020-10-06,0.00283000,0.00283700,0.00263100,0.00263500,54175317.00000000,1602028799999,146456.53581100,1194,22798126.00000000,61668.72490600,0
2020-10-07,0.00263800,0.00269900,0.00261600,0.00268400,30955045.00000000,1602115199999,81997.55645300,810,13744427.00000000,36424.95182600,0
2020-10-08,0.00268400,0.00284700,0.00262400,0.00284300,44413847.00000000,1602201599999,121584.00345200,1286,24046537.00000000,65996.95163900,0
2020-10-09,0.00284300,0.00300400,0.00277400,0.00295500,87260239.00000000,1602287999999,253137.75190700,1788,54253626.00000000,156644.24331300,0
2020-10-10,0.00297200,0.00333500,0.00295900,0.00322600,264820368.00000000,1602374399999,853106.58376200,4668,97287605.00000000,309212.76649500,0
2020-10-11,0.00322600,0.00331000,0.00315100,0.00326000,93634586.00000000,1602460799999,301728.20697900,1796,41437417.00000000,133597.58349600,0
2020-10-12,0.00325300,0.00327100,0.00312500,0.00316500,92842413.00000000,1602547199999,296838.11304200,1950,38846993.00000000,124188.90185700,0
2020-10-13,0.00316800,0.00330000,0.00313200,0.00322600,79055084.00000000,1602633599999,254647.81963100,1741,44745932.00000000,144370.99422600,0
2020-10-14,0.00321900,0.00328500,0.00302000,0.00308400,63601961.00000000,1602719999999,200276.12774200,1561,28486109.00000000,89756.63711400,0
2020-10-15,0.00308800,0.00309000,0.00285100,0.00288300,171688273.00000000,1602806399999,505774.93370100,2486,59165012.00000000,174951.25252100,0
2020-10-16,0.00287500,0.00291300,0.00278100,0.00280800,97570264.00000000,1602892799999,277388.99690500,4305,52151239.00000000,148475.51524400,0
2020-10-17,0.00281200,0.00290000,0.00275600,0.00290000,48501041.00000000,1602979199999,138157.51172600,3601,23715678.00000000,67592.55813400,0
2020-10-18,0.00290000,0.00295400,0.00286000,0.00293700,37667503.00000000,1603065599999,109502.75322800,812,24651886.00000000,71797.58098900,0
2020-10-19,0.00293600,0.00295300,0.00277900,0.00279000,53857294.00000000,1603151999999,152538.63170600,1167,16295416.00000000,46251.00887800,0
2020-10-20,0.00279000,0.00281300,0.00248500,0.00256900,192602108.00000000,1603238399999,510928.61893000,3574,74041789.00000000,195405.48190400,0
2020-10-21,0.00256500,0.00280300,0.00252400,0.00272100,144265158.00000000,1603324799999,384017.17229800,3321,64547720.00000000,172747.73282000,0
2020-10-22,0.00272100,0.00290200,0.00270600,0.00277800,53025011.00000000,1603411199999,148693.22705200,1830,29372813.00000000,82552.99855100,0
2020-10-23,0.00277800,0.00281400,0.00265100,0.00272900,84499321.00000000,1603497599999,231621.19177300,2682,45633794.00000000,125220.84217500,0
2020-10-24,0.00272900,0.00279700,0.00270500,0.00276900,29449594.00000000,1603583999999,81060.62691600,920,13357936.00000000,36811.38552900,0
2020-10-25,0.00277000,0.00284200,0.00267400,0.00268700,60234731.00000000,1603670399999,165294.12620600,1525,29618094.00000000,81392.45577200,0
2020-10-26,0.00268700,0.00276800,0.00249500,0.00260000,98354032.00000000,1603756799999,258219.55601000,2415,38971815.00000000,102900.94640300,0
2020-10-27,0.00260100,0.00263500,0.00256300,0.00262800,64065219.00000000,1603843199999,166220.99562100,1533,33240995.00000000,86360.34328600,0
2020-10-28,0.00263400,0.00274900,0.00247200,0.00251900,129295872.00000000,1603929599999,334649.64084300,2563,67207418.00000000,173969.55781500,0
2020-10-29,0.00251300,0.00260000,0.00243500,0.00257000,87093022.00000000,1604015999999,218174.43055500,2320,40965413.00000000,102880.14275600,0
2020-10-30,0.00256400,0.00259800,0.00242000,0.00249300,51897132.00000000,1604102399999,129528.30335900,1490,26147519.00000000,65314.38165000,0
2020-10-31,0.00248400,0.00255600,0.00244200,0.00247000,83044390.00000000,1604188799999,207318.19159200,1781,55998825.00000000,139824.65371600,0
2020-11-01,0.00247800,0.00251500,0.00245000,0.00248700,89889103.00000000,1604275199999,222788.23776200,1435,70478905.00000000,174676.33738200,0
2020-11-02,0.00248300,0.00250600,0.00234000,0.00237400,98058627.00000000,1604361599999,236320.49522000,2141,48648640.00000000,117320.74994000,0
2020-11-03,0.00237200,0.00238600,0.00229100,0.00236800,54056185.00000000,1604447999999,126827.81711800,1472,26112051.00000000,61404.34247700,0
2020-11-04,0.00236900,0.00248000,0.00232300,0.00237000,92548241.00000000,1604534399999,220294.72612000,2551,49680397.00000000,118427.52656300,0
2020-11-05,0.00237600,0.00251800,0.00235700,0.00250200,76361874.00000000,1604620799999,186375.50123600,1867,35557295.00000000,86995.23274600,0
2020-11-06,0.00250200,0.00269900,0.00246400,0.00259800,240514487.00000000,1604707199999,621149.41919200,4659,147480604.00000000,380443.27837800,0
2020-11-07,0.00259600,0.00280900,0.00247800,0.00252400,198095994.00000000,1604793599999,517070.69032300,4688,125936493.00000000,327385.47766000,0
2020-11-08,0.00251400,0.00269900,0.00250100,0.00266500,86431976.00000000,1604879999999,227304.21351200,2445,41125218.00000000,108191.34050900,0
2020-11-09,0.00268600,0.00269200,0.00251700,0.00259800,73099232.00000000,1604966399999,189863.62035900,2088,34032405.00000000,88612.85454700,0
2020-11-10,0.00259800,0.00273000,0.00256600,0.00269200,61801765.00000000,1605052799999,164583.10257600,1915,33811627.00000000,90250.10425600,0
2020-11-11,0.00269300,0.00277400,0.00268300,0.00272100,58068246.00000000,1605139199999,158826.34078500,1830,30688517.00000000,83963.62391200,0
2020-11-12,0.00272100,0.00273300,0.00261100,0.00265300,46027376.00000000,1605225599999,123123.36324500,1763,25831608.00000000,69279.90835100,0
2020-11-13,0.00264800,0.00272900,0.00264700,0.00272000,46340158.00000000,1605311999999,124519.27727200,1750,22154424.00000000,59598.05475900,0
2020-11-14,0.00272000,0.00272900,0.00261500,0.00267600,34657164.00000000,1605398399999,92387.34834700,1165,18697698.00000000,49910.38750300,0
2020-11-15,0.00267700,0.00276000,0.00260000,0.00262500,113978195.00000000,1605484799999,304462.26945000,1940,63130498.00000000,168309.96276100,0
2020-11-16,0.00263400,0.00273500,0.00260800,0.00272800,75197765.00000000,1605571199999,200840.55975000,1655,35750183.00000000,95580.86103400,0
2020-11-17,0.00272300,0.00281900,0.00250200,0.00272700,135532393.00000000,1605657599999,369535.29092200,3002,67434183.00000000,185199.55976700,0
2020-11-18,0.00273400,0.00277300,0.00261600,0.00270500,95317340.00000000,1605743999999,257907.39324600,2984,52850648.00000000,143006.16927800,0
2020-11-19,0.00269100,0.00272200,0.00256700,0.00267500,75609342.00000000,1605830399999,201896.37950300,2672,35500297.00000000,94975.48264400,0
2020-11-20,0.00267600,0.00277500,0.00265900,0.00270600,112173048.00000000,1605916799999,303503.13164000,2611,54346521.00000000,147402.06070900,0
2020-11-21,0.00271600,0.00309000,0.00269900,0.00304800,163979541.00000000,1606003199999,478827.49413000,5451,88340374.00000000,257664.30479900,0
2020-11-22,0.00305100,0.00310000,0.00280800,0.00298700,113506277.00000000,1606089599999,337338.58554100,4086,52266057.00000000,155729.09729200,0
2020-11-23,0.00301300,0.00311700,0.00291500,0.00309200,114230378.00000000,1606175999999,345187.50185500,3615,52080278.00000000,157695.60871900,0
2020-11-24,0.00308400,0.00408900,0.00307900,0.00386500,785216692.00000000,1606262399999,2813915.20713300,21136,374323111.00000000,1334349.72842700,0
2020-11-25,0.00384500,0.00411100,0.00345600,0.00365500,565102778.00000000,1606348799999,2154819.89441900,17900,272623295.00000000,1045640.04589100,0
2020-11-26,0.00364800,0.00379200,0.00280100,0.00304400,291442577.00000000,1606435199999,922069.32689200,7770,122932773.00000000,390006.58699800,0
2020-11-27,0.00304400,0.00310000,0.00278700,0.00298900,154341716.00000000,1606521599999,455914.61135200,4625,73883082.00000000,218777.64844400,0
2020-11-28,0.00299700,0.00325800,0.00290300,0.00323000,224566546.00000000,1606607999999,695322.63130500,5665,96374886.00000000,298055.23764700,0
2020-11-29,0.00323000,0.00330000,0.00314900,0.00320300,82408755.00000000,1606694399999,264784.60541300,2860,42139257.00000000,135398.83986800,0
2020-11-30,0.00320200,0.00339500,0.00319600,0.00337400,136312834.00000000,1606780799999,448248.51154800,4571,62285031.00000000,205711.61325500,0
2020-12-01,0.00337900,0.00353400,0.00318000,0.00331400,148060599.00000000,1606867199999,497641.12190700,5294,72337863.00000000,243745.81572100,0
2020-12-02,0.00331300,0.00347700,0.00327800,0.00345700,123802402.00000000,1606953599999,420536.73585100,4455,60688299.00000000,206515.97779600,0
2020-12-03,0.00344200,0.00352400,0.00338600,0.00344400,113733825.00000000,1607039999999,391458.11173300,3761,58550982.00000000,202184.57675700,0
2020-12-04,0.00346800,0.00399600,0.00324400,0.00357800,862733365.00000000,1607126399999,3206289.93472200,19576,410449046.00000000,1528614.51461900,0
2020-12-05,0.00354200,0.00373900,0.00337400,0.00373500,179535757.00000000,1607212799999,637934.14690200,6410,97366808.00000000,347016.41606600,0
